heart_rate,timestamp,sleep_stage
52,00:44:00,
51,00:46:00,Light
51,00:48:00,Light
52,00:50:00,Light
52,00:52:00,Deep
50,00:54:00,Deep
50,00:56:00,Deep
51,00:58:00,Deep
51,01:00:00,Deep
52,01:02:00,Deep
51,01:04:00,Deep
51,01:06:00,Deep
51,01:08:00,Deep
52,01:10:00,Deep
52,01:12:00,Deep
52,01:14:00,Deep
52,01:16:00,Deep
52,01:18:00,Deep
56,01:20:00,Deep
50,01:22:00,Light
50,01:24:00,Light
49,01:26:00,Light
50,01:28:00,Light
50,01:30:00,Light
49,01:32:00,Light
50,01:34:00,Light
50,01:36:00,Light
50,01:38:00,Light
50,01:40:00,Light
50,01:42:00,Light
51,01:44:00,Light
51,01:46:00,Light
50,01:48:00,Light
50,01:50:00,Light
53,01:52:00,Light
51,01:54:00,Light
53,01:56:00,Light
50,01:58:00,Light
50,02:00:00,Light
51,02:02:00,Light
51,02:04:00,Light
50,02:06:00,Light
50,02:08:00,Light
52,02:10:00,Light
52,02:12:00,Light
47,02:14:00,Light
50,02:16:00,Light
48,02:18:00,Light
48,02:20:00,Light
49,02:22:00,Light
48,02:24:00,Light
49,02:26:00,Deep
49,02:28:00,Deep
49,02:30:00,Deep
49,02:32:00,Deep
48,02:34:00,Deep
48,02:36:00,Deep
47,02:38:00,Deep
48,02:40:00,Deep
49,02:42:00,Deep
49,02:44:00,Light
46,02:46:00,Light
45,02:48:00,Light
43,02:50:00,Light
43,02:52:00,Light
42,02:54:00,Light
41,02:56:00,Light
42,02:58:00,Light
45,03:00:00,Deep
44,03:02:00,Deep
44,03:04:00,Deep
44,03:06:00,Deep
45,03:08:00,Light
43,03:10:00,Light
43,03:12:00,Light
46,03:14:00,Light
46,03:16:00,REM
47,03:18:00,REM
47,03:20:00,REM
49,03:22:00,REM
46,03:24:00,REM
46,03:26:00,REM
47,03:28:00,REM
46,03:30:00,REM
46,03:32:00,REM
45,03:34:00,REM
45,03:36:00,REM
46,03:38:00,REM
45,03:40:00,REM
45,03:42:00,REM
46,03:44:00,REM
46,03:46:00,REM
45,03:48:00,Light
46,03:50:00,Light
46,03:52:00,Light
46,03:54:00,Light
44,03:56:00,Light
45,03:58:00,Deep
44,04:00:00,Deep
44,04:02:00,Deep
45,04:04:00,Deep
46,04:06:00,Deep
45,04:08:00,Deep
46,04:10:00,Deep
46,04:12:00,Deep
46,04:14:00,Deep
51,04:16:00,Deep
53,04:18:00,Light
44,04:20:00,Light
45,04:22:00,Light
48,04:24:00,Light
43,04:26:00,Light
44,04:28:00,Light
45,04:30:00,Light
45,04:32:00,REM
46,04:34:00,REM
47,04:36:00,REM
47,04:38:00,REM
49,04:40:00,REM
49,04:42:00,REM
49,04:44:00,REM
50,04:46:00,REM
47,04:48:00,REM
48,04:50:00,REM
47,04:52:00,REM
48,04:54:00,REM
53,04:56:00,REM
50,04:58:00,REM
46,05:00:00,REM
45,05:02:00,REM
45,05:04:00,REM
49,05:06:00,REM
46,05:08:00,REM
54,05:10:00,REM
46,05:12:00,REM
44,05:14:00,REM
43,05:16:00,REM
44,05:18:00,Light
46,05:20:00,Light
45,05:22:00,Light
45,05:24:00,Light
45,05:26:00,Light
45,05:28:00,Light
43,05:30:00,Light
43,05:32:00,Light
45,05:34:00,Light
44,05:36:00,Light
45,05:38:00,Light
45,05:40:00,Light
46,05:42:00,Light
46,05:44:00,Light
46,05:46:00,Light
46,05:48:00,Deep
46,05:50:00,Deep
46,05:52:00,Deep
46,05:54:00,Deep
47,05:56:00,Deep
47,05:58:00,Deep
47,06:00:00,Deep
47,06:02:00,Deep
47,06:04:00,Light
45,06:06:00,Light
46,06:08:00,Light
45,06:10:00,Light
45,06:12:00,Light
44,06:14:00,Light
45,06:16:00,Light
45,06:18:00,Light
46,06:20:00,Light
46,06:22:00,Light
47,06:24:00,Light
51,06:26:00,Light
43,06:28:00,Light
42,06:30:00,Light
44,06:32:00,Light
43,06:34:00,Light
46,06:36:00,REM
45,06:38:00,REM
51,06:40:00,REM
45,06:42:00,REM
51,06:44:00,REM
47,06:46:00,REM
46,06:48:00,REM
46,06:50:00,REM
47,06:52:00,REM
46,06:54:00,REM
48,06:56:00,REM
45,06:58:00,REM
44,07:00:00,Light
47,07:02:00,Light
45,07:04:00,Light
45,07:06:00,Light
44,07:08:00,Light
47,07:10:00,Light
44,07:12:00,REM
46,07:14:00,REM
46,07:16:00,REM
45,07:18:00,REM
47,07:20:00,Light
44,07:22:00,Light
45,07:24:00,Light
46,07:26:00,Light
49,07:28:00,Light
48,07:30:00,Light
47,07:32:00,Light
45,07:34:00,Light
46,07:36:00,Light
46,07:38:00,Light
46,07:40:00,Light
46,07:42:00,Light
45,07:44:00,Light
48,07:46:00,Light
46,07:48:00,Light
45,07:50:00,Light
45,07:52:00,Light
44,07:54:00,Light
46,07:56:00,Light
47,07:58:00,Light
47,08:00:00,Light
46,08:02:00,
